Frame,Frametime,glfwPollEvents,InputUpdate,PlayerUpdate,WorldUpdate,Raycasting,CsvStuff,Draw UI,Update,ImGuiRender,WorldDrawChunks,DrawChunks,OpenGLRender,ChunkBuildMesh
3694,8769,18,22,2,0,0,9,10,36,60,73,75,92,
3695,8067,13,16,1,0,0,6,9,26,43,69,71,86,
3696,8339,12,15,1,0,0,8,7,26,44,71,73,86,
3697,8170,92,96,2,0,0,11,9,113,57,83,86,104,
3698,8500,13,18,2,0,0,7,9,28,49,69,71,86,
3699,8150,15,17,2,0,0,9,10,31,57,72,74,91,
3700,8617,11,13,1,0,0,7,10,24,46,72,74,89,
3701,8095,14,17,2,0,0,6,8,28,43,75,77,91,
3702,8530,15,19,2,0,0,7,11,29,42,72,74,91,
3703,8209,14,16,2,0,0,6,7,26,48,69,70,84,
3704,8457,14,16,2,0,0,7,12,27,41,88,90,107,
3705,8080,15,18,2,0,0,8,28,31,44,68,70,105,
3706,8561,14,17,1,0,0,7,13,27,46,99,105,147,
3707,8022,16,18,2,0,0,9,11,31,50,80,82,100,
